Player Name,Position,Team,League,Minutes,Passes attempted,xPass Rating,Average pass difficulty
Pablo Zabaleta,Mid,West Ham,Premier League,3546.166666666666,966,0.990972515652548,75.21314699792964
Michail Antonio,Mid,West Ham,Premier League,3999.9,927,0.9495848833056016,74.29579288025883
Angelo Ogbonna,Def,West Ham,Premier League,4999.283333333332,1511,1.0121218140628168,83.95909993381875
Winston Reid,Def,West Ham,Premier League,4300.416666666666,1385,1.0143268296746817,84.06635379061404
Aaron Cresswell,Def,West Ham,Premier League,5612.616666666668,1851,1.0059163100606,75.24365207995669
Manuel Lanzini,FW,West Ham,Premier League,5105.200000000002,2596,1.0104319795965335,86.99691833590157
Cheikhou Kouyaté,Mid,West Ham,Premier League,5907.783333333334,1599,1.0061248395624012,85.90287679799874
Mark Noble,Mid,West Ham,Premier League,5112.950000000002,2380,1.0154804350769504,85.64890756302526
Andy Carroll,FW,West Ham,Premier League,2308.866666666667,356,0.942167726044544,83.47949438202251
Dimitri Payet,FW,West Ham,Premier League,1622.65,726,0.9965913434435274,78.91914600550973
James Collins,Def,West Ham,Premier League,2922.2833333333333,755,1.008637485174343,80.62807947019868
